Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CEQ_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;
CEQ_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;
CEQ_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
CEQ_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
CEQ_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
CEQ_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
HAL_absolute_monarchy_ADJ;Rashidi;;;;;;;;;;;;;
HAL_prussian_constitutionalism_ADJ;Rashidi;;;;;;;;;;;;;
HAL_hms_government_ADJ;Rashidi;;;;;;;;;;;;;
ISL;Islamic Caliphate;;;;;;;;;;;;;
ISL_ADJ;Islamic;;;;;;;;;;;;;
ISL_proletarian_dictatorship;Islamic People's Republic;;;;;;;;;;;;;
ISL_presidential_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_bourgeois_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_democracy;Islamic Republic;;;;;;;;;;;;;
ISL_liberal;Islamic Liberal faction;Liberal Faction;Liberal Faction;;Liberal Faction;;;;;;;;;
ISL_conservative;Islamic Conservative Faction;Conservative Faction;;Conservative Faction;;;;;;;;;;
ISL_reactionary;Islamic Fundamentalist Faction;Monarchist Faction;Monarchist Faction;;Monarchist Faction;;;;;;;;;
ISL_socialist;Socialist Faction;Labour Faction;Labour Faction;;Labour Faction;;;;;;;;;
ISL_anarcho_liberals;Anarchist Faction;Anarchist Faction;Anarchist Faction;;Anarchist Faction;;;;;;;;;
ISL_communist;Communist Faction;Communist Faction;Communist Faction;;Communist Faction;;;;;;;;;
ISL_fascist;Mujahideen Faction;Norman Faction;Norman Faction;;Norman Faction;;;;;;;;;
LEO;Leon;;;;;;;;;;;;;
LEO_ADJ;Leonese;;;;;;;;;;;;;
LEO_conservative;Partido Moderado;;;;;;;;;;;;;
LEO_liberal;Partido Progresista;;;;;;;;;;;;;
LEO_reactionary;Comuni¢n Carlista;;;;;;;;;;;;;
LEO_socialist;Partido Socialista;;;;;;;;;;;;;
LEO_communist;Federaci¢n Regional;;;;;;;;;;;;;
LEO_anarcho_liberal;Partido Radical;;;;;;;;;;;;;
LEO_fascist;Falange;;;;;;;;;;;;;
LXA_ADJ;Lan Xangi;lan xang;Lan Xangi;Lan Xang;de Lane Xang;Lan Xang;Lan Xangi;Lanxangijský;;;;;;
NEJ_absolute_monarchy_ADJ;Saudi;;;;;;;;;;;;;
NEJ_prussian_constitutionalism_ADJ;Saudi;;;;;;;;;;;;;
NEJ_hms_government_ADJ;Saudi;;;;;;;;;;;;;
RGR_fascist_dictatorship;Rio Bravo;;;;;;;;;;;;;
SYC;Sicily;;;;;;;;;;;;;
SYC_ADJ;Sicilian;;;;;;;;;;;;;
TUR_presidential_dictatorship;Turkey;;;;;;;;;;;;;
TUR_presidential_dictatorship_ADJ;Turkish;;;;;;;;;;;;;
TUR_bourgeois_dictatorship_ADJ;Turkish;;;;;;;;;;;;;
TUR_fascist_dictatorship;Turkey;;;;;;;;;;;;;
USA_democracy;The United States of America;;;;;;;;;;;;;
USA_presidential_dictatorship;The United States of America;;;;;;;;;;;;;
USA_fascist_dictatorship;The United States of America;;;;;;;;;;;;;
ASH_proletarian_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
ASH_proletarian_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;Ghanés;;;;;;;;;
ASH_fascist_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
ASH_fascist_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;Ghanés;;;;;;;;;
ASH_bourgeois_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
ASH_bourgeois_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;Ghanés;;;;;;;;;
ASH_presidential_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
ASH_presidential_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;Ghanés;;;;;;;;;
ASH_democracy;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
ASH_democracy_ADJ;Ghanaian;Ghanaian;Ghanaisch;;Ghanés;;;;;;;;;
